ts,key,dist_m,rssi_dbm
1761205301,A,0.500,-34.74
1761205315,A,1.000,-29.25
1761205324,A,1.500,-41.48
1761205331,A,2.000,-54.12
1761205338,A,2.500,-54.03
1761205346,A,3.000,-53.58
1761205352,A,3.500,-57.74
1761205361,A,4.000,-59.14
1761205367,A,4.500,-57.36
1761205373,A,5.000,-57.89
1761205380,A,5.500,-55.96
1761205386,A,6.000,-56.44
1761205393,A,6.500,-58.56
1761205400,A,7.000,-57.56
1761205407,A,7.500,-59.38
1761205412,A,8.000,-63.24
1761205418,A,8.500,-62.68
1761205423,A,9.000,-63.59
1761205430,A,9.500,-61.25
1761205438,A,10.000,-62.41
